"id","title","type","sprint_id","module","owner_id","priority","status","estimated_hours","actual_hours","blocker","blocker_date","created_date","description","steps_to_reproduce","test_reproduced","closed_date","in_progress_date","blocked_hours","qa_status","qa_in_progress_date","qa_actual_hours","qa_fixing_in_progress_date","qa_fixing_hours","qa_sprint_id"
task-1767332172273,Task1,Sprint,sprint-1767186388824,New,20,Medium,Done,1.0,0.0,,,"2026-01-02","",,0,,,0.0,,,0.0,,0.0,
task-1767350360296,Task 03,Sprint,sprint-1767186388824,"",19,Medium,Done,0.0,0.0,,,"2026-01-02","",,0,,,0.0,,,0.0,,0.0,
task-1767350394652,Task 03,Sprint,sprint-1767186388824,"",20,Medium,Done,0.0,0.0,,,"2026-01-02","",,0,,,0.0,,,0.0,,0.0,
task-1767351628554,test,Sprint,sprint-1767186388824,test,22,Medium,Done,0.0,0.0,,,"2026-01-02","",,0,,,0.0,,,0.0,,0.0,
task-1767356352707,test 5,Sprint,sprint-1767186388824,test,19,Medium,Done,2.0,0.0,,,"2026-01-02",aksd,,0,,,0.0,,,0.0,,0.0,
task-1767427494731,test,Sprint,sprint-1767186388824,testeee,21,Medium,Done,4.0,0.0,,,"2026-01-03",test,,0,,,0.0,,,0.0,,0.0,
task-1767331329847,test-2,Sprint,sprint-1767186388824,"",18,Medium,Done,0.0,0.0,,,"2026-01-02","",,0,,,0.0,,,0.0,,0.0,
task-1767348418523,insaf,Sprint,sprint-1767186388824,new,21,High,Done,0.0,0.0,,,"2026-01-02","",,0,,,0.0,,,0.0,,0.0,
task-1768210584091,GitLab activity logging (basic),Sprint,sprint-1768200585609,Integration,21,High,Done,1.0,4.867361,,,"2026-01-12","Log GitLab integration activities.

Scope:
- Log authentication attempts
- Log repository sync actions
- Log GitLab API calls",,0,"2026-01-27T02:48:55Z",,0.0,,,0.0,,0.0,
task-1768205805997,Encrypt the secret key,Sprint,sprint-1768200585609,Integration,24,High,Done,1.0,6.4600697,,,"2026-01-12","",,0,"2026-01-19T11:02:30Z",,0.0,,,0.0,,0.0,
task-1768210387948,GitLab API connectivity test,Sprint,sprint-1769504239258,Integration,21,High,Done,1.0,0.266794,,,"2026-01-12","Test GitLab API access using stored access token.

Scope:
- Call GitLab /user API
- Call GitLab /projects API
- Handle invalid token and permission errors",,0,"2026-01-27T09:12:59Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768202289712,Bitbucket checks implementation,Sprint,sprint-1768200585609,Integration,18,High,Done,2.0,4.9985995,,,"2026-01-12","need to verify and check if the bitbucket checks satisfies the given data, check if it is pass or fail based on the Bitbucket account user permissions.",,0,"2026-01-27T05:30:27Z",,0.0,,,0.0,,0.0,
SP-072,ISO 27001 - Advanced,Sprint,,"",30,Medium,To Do,0.0,0.0,,,"2026-02-06","",,0,,,0.0,,,0.0,,0.0,
task-1768212407629,Dashboard Bug,Sprint,sprint-1768200585609,Artifact,22,Medium,Done,1.0,7.278588,,,"2026-01-12",Artifact Counts are not Properly calculated in Dashboard,,0,"2026-01-20T06:41:10Z",,0.0,,,0.0,,0.0,
